,coilno,clean
1500,401441,1
1501,401442,1
1502,401443,1
1503,401444,1
1504,401445,1
1505,401446,1
1506,401447,1
1507,401448,1
1508,401449,1
1509,401450,1
1510,401451,1
1511,401452,1
1512,401453,1
1513,401454,1
1514,401455,1
1515,401456,1
1516,401457,1
1517,401458,1
1518,401459,1
1519,401460,1
1520,401461,1
1521,401462,1
1522,401463,1
1523,401464,1
1524,401465,1
1525,401466,1
1526,401467,1
1527,401468,1
1528,401469,1
1529,401470,1
1530,401471,1
1531,401472,1
1532,401473,1
1533,401475,1
1534,401476,1
1535,401477,1
1536,401478,1
1537,401479,1
1538,401480,1
1539,401481,1
1540,401482,1
1541,401483,1
1542,401484,1
1543,401485,1
1544,401486,1
1545,401487,1
1546,401488,1
1547,401489,1
1548,401490,1
1549,401491,1
1550,401492,1
1551,401493,1
1552,401494,1
1553,401495,1
1554,401496,1
1555,401497,1
1556,401498,1
1557,401499,1
1558,401500,1
1559,401501,1
1560,401502,1
1561,401503,1
1562,401504,1
1563,401505,1
1564,401506,1
1565,401507,1
1566,401508,1
1567,401509,1
1568,401510,1
1569,401511,1
1570,401512,1
1571,401513,1
1572,401514,1
1573,401515,1
1574,401516,1
1575,401517,1
1576,401518,1
1577,401519,1
1578,401520,1
1579,401521,1
1580,401522,1
1581,401523,1
1582,401524,1
1583,401525,1
1584,401526,1
1585,401527,1
1586,401528,1
1587,401529,1
1588,401530,1
1589,401531,1
1590,401532,1
1591,401533,1
1592,401534,1
1593,401535,1
1594,401536,1
1595,401537,1
1596,401538,1
1597,401539,1
1598,401540,1
1599,401541,1
1600,401542,1
1601,401543,1
1602,401544,1
1603,401545,1
1604,401546,1
1605,401547,1
1606,401548,1
1607,401549,1
1608,401550,1
1609,401551,1
1610,401552,1
1611,401553,1
1612,401554,1
1613,401555,1
1614,401556,1
1615,401557,1
1616,401558,1
1617,401559,1
1618,401560,1
1619,401561,1
1620,401562,1
1621,401563,1
1622,401564,1
1623,401565,1
1624,401567,1
1625,401850,1
1626,401852,1
1627,401853,1
1628,401854,1
1629,401855,1
1630,401856,1
1631,401857,1
1632,401858,1
1633,401859,1
1634,401860,1
1635,401861,1
1636,401862,1
1637,401863,1
1638,401864,1
1639,401865,1
1640,401866,1
1641,401867,1
1642,401868,1
1643,401869,1
1644,401870,1
1645,401871,1
1646,401872,1
1647,401873,1
1648,401874,1
1649,401875,1
1650,401876,1
1651,401877,1
1652,401878,1
1653,401879,1
1654,401880,1
1655,401881,1
1656,401882,1
1657,401883,1
1658,401884,1
1659,401885,1
1660,401886,1
1661,401887,1
1662,401888,1
1663,401889,1
1664,401890,1
1665,401891,1
1666,401892,1
1667,401893,1
1668,401894,1
1669,401895,1
1670,401896,1
1671,401897,1
1672,401898,1
1673,401899,1
1674,401900,1
1675,401901,1
1676,401902,1
1677,401903,1
1678,401904,1
1679,401905,1
1680,401906,1
1681,401907,1
1682,401908,1
1683,401909,1
1684,401910,1
1685,401911,1
1686,401912,1
1687,401913,1
1688,401914,1
1689,401915,1
1690,401916,1
1691,401917,1
1692,401918,1
1693,401919,1
1694,401920,1
1695,401921,1
1696,401922,1
1697,401923,1
1698,401924,1
1699,401925,1
1700,401926,1
1701,401927,1
1702,401928,1
1703,401929,1
1704,401930,1
1705,401931,1
1706,401932,1
1707,401933,0
1708,401934,1
1709,401935,1
1710,401936,1
1711,401937,1
1712,401938,1
1713,401939,1
1714,401940,1
1715,401941,1
1716,401942,1
1717,401943,1
1718,401944,1
1719,401945,1
1720,401946,1
1721,401947,1
1722,401948,1
1723,401949,1
1724,401951,1
1725,401952,1
1726,401953,1
1727,401954,1
1728,401955,1
1729,401956,1
1730,401957,1
1731,401958,1
1732,401959,1
1733,401960,1
1734,401961,1
1735,401962,1
1736,401963,1
1737,401964,1
1738,401965,1
1739,401966,1
1740,401967,1
1741,401968,1
1742,401969,1
1743,401970,1
1744,401971,1
1745,401972,1
1746,401973,1
1747,401974,1
1748,401975,1
1749,401976,1
1750,401977,1
1751,401978,1
1752,401979,1
1753,401981,1
1754,401982,1
1755,401983,1
1756,401984,1
1757,401985,1
1758,401986,0
1759,401987,0
1760,401988,1
1761,401989,1
1762,401990,1
1763,401991,0
1764,401992,1
1765,401993,1
1766,401995,1
1767,401996,1
1768,401997,1
1769,401998,1
1770,401999,1
1771,402000,1
1772,402001,1
1773,402002,1
1774,402003,1
1775,402004,1
1776,402005,1
1777,402006,1
1778,402007,1
1779,402008,1
1780,402009,1
1781,402010,1
1782,402011,1
1783,402012,1
1784,402013,1
1785,402014,1
1786,402015,1
1787,402016,1
1788,402017,1
1789,402018,1
1790,402019,1
1791,402020,1
1792,402021,1
1793,402022,1
1794,402023,1
1795,402024,1
1796,402025,1
1797,402026,1
1798,402027,1
1799,402028,1
1800,402029,1
1801,402030,1
1802,402031,1
1803,402032,1
1804,402033,1
1805,402034,1
1806,402035,1
1807,402036,1
1808,402037,1
1809,402038,1
1810,402039,1
1811,402040,1
1812,402041,1
1813,402042,1
1814,402043,1
1815,402044,1
1816,402045,1
1817,402046,1
1818,402047,1
1819,402048,1
1820,402049,1
1821,402050,1
1822,402051,1
1823,402053,1
1824,402054,1
1825,402055,1
1826,402056,1
1827,402057,1
1828,402058,1
1829,402059,1
1830,402060,1
1831,402061,1
1832,402062,1
1833,402063,1
1834,402064,1
1835,402065,1
1836,402066,1
1837,402067,1
1838,402068,1
1839,402069,1
1840,402070,1
1841,402071,1
1842,402072,1
1843,402073,1
1844,402074,1
1845,402075,1
1846,402076,1
1847,402077,1
1848,402078,1
1849,402079,1
1850,402080,1
1851,402081,1
1852,402082,1
1853,402084,1
1854,402085,1
1855,402086,1
1856,402087,1
1857,402088,1
1858,402089,1
1859,402090,1
1860,402091,1
1861,402092,1
1862,402093,1
1863,402094,1
1864,402095,1
1865,402096,1
1866,402097,1
1867,402098,1
